Clothing_Shoes_and_Jewelry,Electronics,Home_and_Kitchen,Books,Sports_and_Outdoors,month,monthCode,visName,visCode
4.174546417693021,4.192599402436222,4.35668112990348,4.387760416666667,4.362793162846163,1,MT01,average rating over the months,AROM
4.167396907216495,4.22672154855935,4.308658471405665,4.4167385677308015,4.337905236907731,2,MT02,average rating over the months,AROM
4.201724740706212,4.1585932315859315,4.364732038380529,4.400717580727832,4.427408031451838,3,MT03,average rating over the months,AROM
4.184169626998224,4.180193414126576,4.318316465070353,4.388142401994736,4.383073229291717,4,MT04,average rating over the months,AROM
4.2625486037469065,4.186997319034853,4.32146375791696,4.368967484312607,4.366697101118466,5,MT05,average rating over the months,AROM
4.1575020723956895,4.215088993181617,4.280063083190958,4.399272197962153,4.411464809748819,6,MT06,average rating over the months,AROM
4.1917389087200405,4.1836407377706495,4.327433628318584,4.421499737808076,4.387058823529412,7,MT07,average rating over the months,AROM
4.207605859923741,4.118066996155958,4.315816789931231,4.3765822784810124,4.388491016459353,8,MT08,average rating over the months,AROM
4.188088682799594,4.159524975514201,4.272890484739677,4.4197749531152315,4.414885699096225,9,MT09,average rating over the months,AROM
4.1714601769911495,4.210880256950718,4.273114901256733,4.388427734375,4.360225802657886,10,MT10,average rating over the months,AROM
4.229213750446057,4.1846281219815085,4.328990901571546,4.427614970914281,4.3646650379323635,11,MT11,average rating over the months,AROM
4.168130795510005,4.151530877010898,4.2890256678889465,4.393716475095785,4.350426175419302,12,MT12,average rating over the months,AROM
11316.0,11293.0,11293.0,8765.0,10683.0,1,MTJanuary,sale in category over months,SCOM
8407.0,8989.0,8546.0,6525.0,8042.0,2,MTFebruary,sale in category over months,SCOM
9966.0,9963.0,9672.0,7219.0,9405.0,3,MTMarch,sale in category over months,SCOM
9008.0,8702.0,8102.0,6954.0,8330.0,4,MTApril,sale in category over months,SCOM
8196.0,8169.0,7484.0,7680.0,7959.0,5,MTMay,sale in category over months,SCOM
7844.0,7460.0,7105.0,6870.0,7547.0,6,MTJune,sale in category over months,SCOM
7551.0,7708.0,7707.0,8192.0,8503.0,7,MTJuly,sale in category over months,SCOM
8581.0,8168.0,8136.0,9796.0,8762.0,8,MTAugust,sale in category over months,SCOM
7232.0,7482.0,7636.0,9535.0,8500.0,9,MTSeptember,sale in category over months,SCOM
7760.0,7284.0,7609.0,9755.0,7777.0,10,MTOctober,sale in category over months,SCOM
6901.0,7247.0,7798.0,9111.0,7274.0,11,MTNovember,sale in category over months,SCOM
7238.0,7535.0,8912.0,9598.0,7218.0,12,MTDecember,sale in category over months,SCOM
6977.0,7539.0,10307.0,6772.0,6263.0,1,MT01,no of user in each category,NOUC
7168.0,7891.0,6878.0,6189.0,5641.0,2,MT02,no of user in each category,NOUC
7938.0,6407.0,7807.0,8470.0,8782.0,3,MT03,no of user in each category,NOUC
8288.0,7171.0,7373.0,6355.0,6828.0,4,MT04,no of user in each category,NOUC
10376.0,6450.0,6459.0,7852.0,7067.0,5,MT05,no of user in each category,NOUC
6618.0,9915.0,6878.0,6084.0,6615.0,6,MT06,no of user in each category,NOUC
7187.0,6473.0,7390.0,8420.0,6861.0,7,MT07,no of user in each category,NOUC
9169.0,6272.0,7058.0,8611.0,6607.0,8,MT08,no of user in each category,NOUC
6328.0,7074.0,6977.0,8231.0,7678.0,9,MT09,no of user in each category,NOUC
6675.0,8784.0,8018.0,7186.0,6913.0,10,MT10,no of user in each category,NOUC
7729.0,6202.0,8773.0,7910.0,6217.0,11,MT11,no of user in each category,NOUC
7592.0,6720.0,6936.0,5896.0,5784.0,12,MT12,no of user in each category,NOUC
